#separator:;
#html:true
#deck:Physique PHYSH1002
#tags column:3
Recto;Verso;Tags
Qu'est-ce que le <b>potentiel vecteur</b> $\vec{A}$ ?;$$\text{rot}\,\vec{A} = \bar{B}$$<br>Et le champ électrique se décompose en :<br>$$\vec{E} = -\vec{\text{grad}}\,V - \frac{\partial \vec{A}}{\partial t}$$;ch3_faraday
Quel problème Maxwell a-t-il résolu avec le <b>courant de déplacement</b> ?;La loi d'Ampère classique donnait des résultats <b>contradictoires</b> selon la surface choisie (ex: condensateur). Maxwell a ajouté $\varepsilon_0\partial\vec{E}/\partial t$ pour restaurer la conservation de la charge.;ch4_maxwell
Énoncer la <b>loi de Lenz</b>.;Le courant induit crée un champ $\bar{B}_i$ qui <b>s'oppose à la variation</b> de flux magnétique qui lui a donné naissance.<br>C'est le reflet de la <b>conservation de l'énergie</b>.;ch4_maxwell
Qu'est-ce que le <b>diamagnétisme</b> ?;Phénomène d'induction EM à l'échelle atomique : l'application de $\bar{B}$ modifie les orbites électroniques, créant un courant net <b>opposé</b> à $\bar{B}$.<br>$\mu_r < 1$ (très proche de 1).<br>Force toujours <b>répulsive</b>.;ch4_maxwell
Donner la loi courant-tension d'un <b>inducteur idéal</b>.;$$V_L = L\frac{dI}{dt}$$<br>Analogue au condensateur : $I = C\,dV/dt$.;ch5_circuits
Quelle est l'<b>inductance</b> d'un solénoïde ?;$$L = \mu \frac{N^2 S}{\ell}$$<br>$N$ : nombre de spires, $S$ : section, $\ell$ : longueur.;ch5_circuits
Donner l'expression du courant lors de la <b>charge d'un circuit RL</b>.;$$I(t) = \frac{V}{R}\left(1 - e^{-t/\tau}\right), \quad \tau = \frac{L}{R}$$;ch5_circuits
Quelle est l'<b>énergie stockée</b> dans un inducteur ?;$$W_L = \frac{1}{2}LI^2$$<br>Analogue au condensateur : $W_C = \frac{1}{2}CV^2$.;ch5_circuits
Donner le <b>rapport de transformation</b> d'un transformateur.;$$\frac{V_s}{V_p} = \frac{N_s}{N_p}$$<br>La puissance est conservée : $V_sI_s = V_pI_p$.;ch5_circuits
Pourquoi transporte-t-on l'électricité à <b>haute tension</b> ?;Pour minimiser les pertes Joule $P_J = RI^2$ dans les câbles.<br>À puissance constante $P = VI$ : augmenter $V$ → diminuer $I$ → diminuer $RI^2$.;ch5_circuits
Définir la <b>valeur efficace</b> d'un courant alternatif.;$$I_{\text{eff}} = \frac{I_m}{\sqrt{2}}$$<br>C'est la valeur qui donne la même puissance dissipée qu'un courant continu : $\langle P \rangle = RI_{\text{eff}}^2$.;ch5_circuits
Quelle est la <b>réactance</b> d'un inducteur et d'un condensateur ?;Inducteur : $X_L = \omega L$ (↑ avec $\omega$ → filtre <b>passe-bas</b>)<br>Condensateur : $X_C = 1/(\omega C)$ (↓ avec $\omega$ → filtre <b>passe-haut</b>);ch5_circuits
Quel est le <b>déphasage</b> courant–tension pour L et C ?;Inducteur : courant <b>en retard</b> de $\pi/2$ ($\Delta\varphi = -\pi/2$)<br>Condensateur : courant <b>en avance</b> de $\pi/2$ ($\Delta\varphi = +\pi/2$)<br>Dans les deux cas : $\langle P \rangle = 0$.;ch5_circuits
Comment interpréter $\text{div}\,\bar{B} = 0$ physiquement ?;Il n'existe <b>pas de monopôles magnétiques</b>. Les lignes de champ magnétique sont toujours fermées (ou vont à l'infini). Le flux net de $\bar{B}$ à travers toute surface fermée est nul.;ch2_flux ch4_maxwell
Quelle est la <b>densité d'énergie</b> du champ EM ?;Magnétique : $w_B = \frac{1}{2\mu}\|\bar{B}\|^2$<br>Électrique : $w_E = \frac{1}{2}\varepsilon_0\|\vec{E}\|^2$;ch5_circuits
Que sont les <b>courants de Foucault</b> ?;Des courants parasites induits dans un conducteur massif exposé à un champ magnétique variable. Ils créent des boucles de courant, dissipent de l'énergie par effet Joule, et constituent un effet souvent <b>nuisible</b> (mais utile pour le freinage EM).;ch4_maxwell
